[12/22 15:18:10 detectron2]: Serializing 860001 elements to byte tensors and concatenating them all ...
[12/22 15:18:10 detectron2]: Serializing 860001 elements to byte tensors and concatenating them all ...
[12/22 15:18:12 detectron2]: Serialized dataset takes 505.05 MiB
[12/22 15:18:13 detectron2]: Serialized dataset takes 505.05 MiB
  time      PID  rss    pss    uss    shared    shared_file
 20338  1495935  308.2M  108.7M  67.7M  240.5M    131.2M
 20338  1495936  308.1M  108.6M  67.7M  240.4M    131.1M
 20338  1495937  308.2M  108.6M  67.7M  240.5M    131.2M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20339  1495766  1.7G    1.5G    1.4G   252.7M    252.7M
 20339  1495938  315.4M  110.4M  67.8M  247.6M    138.4M
 20339  1495939  314.9M  110.1M  67.8M  247.1M    137.9M
 20339  1495940  314.8M  110.0M  67.8M  247.1M    137.8M
 20339  1495941  314.0M  109.8M  67.7M  246.3M    137.0M
 20339  1495767  1.7G    1.5G    1.4G   255.5M    255.5M
 20339  1495934  318.1M  110.6M  67.7M  250.4M    141.1M
 20339  1495935  318.7M  110.8M  67.7M  251.0M    141.7M
 20339  1495936  318.6M  110.7M  67.7M  250.9M    141.5M
 20339  1495937  318.6M  110.7M  67.7M  251.0M    141.6M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20341  1495766  1.7G    1.5G    1.4G   262.8M    262.8M
 20341  1495938  325.3M  112.3M  67.8M  257.5M    148.3M
 20341  1495939  325.0M  112.1M  67.8M  257.2M    148.0M
 20341  1495940  324.9M  112.0M  67.8M  257.2M    147.9M
 20341  1495941  324.4M  111.9M  67.7M  256.6M    147.4M
 20341  1495767  1.7G    1.5G    1.4G   264.5M    264.5M
 20341  1495934  327.2M  112.4M  67.7M  259.5M    150.1M
 20341  1495935  327.5M  112.6M  67.7M  259.9M    150.5M
 20341  1495936  327.5M  112.5M  67.7M  259.8M    150.5M
 20341  1495937  327.5M  112.4M  67.7M  259.8M    150.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20342  1495766  1.7G    1.5G    1.4G   270.5M    270.5M
 20342  1495938  333.3M  113.9M  67.8M  265.5M    156.3M
 20342  1495939  333.0M  113.7M  67.8M  265.2M    156.0M
 20342  1495940  332.9M  113.7M  67.8M  265.2M    155.9M
 20342  1495941  332.2M  113.4M  67.7M  264.4M    155.2M
 20342  1495767  1.7G    1.4G    1.4G   273.7M    273.7M
 20342  1495934  336.3M  114.2M  67.7M  268.6M    159.3M
 20342  1495935  336.8M  114.5M  67.7M  269.1M    159.8M
 20342  1495936  336.9M  114.4M  67.7M  269.2M    159.9M
 20342  1495937  336.6M  114.3M  67.7M  269.0M    159.6M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20343  1495766  1.7G    1.4G    1.4G   280.1M    280.1M
 20343  1495938  342.6M  115.7M  67.8M  274.9M    165.6M
 20343  1495939  342.4M  115.6M  67.8M  274.6M    165.4M
 20343  1495940  342.4M  115.5M  67.8M  274.6M    165.4M
 20343  1495941  341.9M  115.4M  67.7M  274.2M    164.9M
 20343  1495767  1.7G    1.4G    1.4G   282.2M    282.2M
 20343  1495934  344.8M  115.9M  67.7M  277.1M    167.8M
 20343  1495935  345.1M  116.1M  67.7M  277.4M    168.1M
 20343  1495936  345.1M  116.0M  67.7M  277.4M    168.1M
 20343  1495937  345.1M  116.0M  67.7M  277.4M    168.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20345  1495766  1.7G    1.4G    1.4G   287.9M    287.9M
 20345  1495938  350.5M  117.3M  67.8M  282.7M    173.5M
 20345  1495939  350.3M  117.2M  67.8M  282.5M    173.2M
 20345  1495940  350.2M  117.1M  67.8M  282.4M    173.2M
 20345  1495941  349.6M  116.9M  67.7M  281.9M    172.6M
 20345  1495767  1.7G    1.4G    1.4G   291.3M    291.3M
 20345  1495934  353.8M  117.7M  67.7M  286.1M    176.8M
 20345  1495935  354.3M  117.9M  67.7M  286.6M    177.3M
 20345  1495936  354.3M  117.9M  67.7M  286.6M    177.3M
 20345  1495937  354.2M  117.8M  67.7M  286.6M    177.2M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20346  1495766  1.7G    1.4G    1.4G   297.0M    297.0M
 20346  1495938  359.4M  119.0M  67.8M  291.7M    182.4M
 20346  1495939  359.2M  118.9M  67.8M  291.4M    182.2M
 20346  1495940  359.2M  118.9M  67.8M  291.5M    182.2M
 20346  1495941  359.0M  118.8M  67.7M  291.3M    182.0M
 20346  1495767  1.7G    1.4G    1.4G   298.9M    298.9M
 20346  1495934  361.4M  119.2M  67.7M  293.7M    184.3M
 20346  1495935  361.8M  119.4M  67.7M  294.1M    184.8M
 20346  1495936  361.8M  119.4M  67.7M  294.1M    184.8M
 20346  1495937  361.8M  119.3M  67.7M  294.1M    184.8M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20348  1495766  1.7G    1.4G    1.4G   305.8M    305.8M
 20348  1495938  368.4M  120.9M  67.8M  300.6M    191.4M
 20348  1495939  368.1M  120.7M  67.8M  300.3M    191.1M
 20348  1495940  368.1M  120.7M  67.8M  300.3M    191.0M
 20348  1495941  367.5M  120.5M  67.7M  299.8M    190.5M
 20348  1495767  1.7G    1.4G    1.4G   307.4M    307.4M
 20348  1495934  370.0M  121.0M  67.7M  302.3M    192.9M
 20348  1495935  370.6M  121.2M  67.7M  302.9M    193.6M
 20348  1495936  370.7M  121.2M  67.7M  303.0M    193.7M
 20348  1495937  370.6M  121.1M  67.7M  302.9M    193.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20349  1495766  1.7G    1.4G    1.4G   313.7M    313.7M
 20349  1495938  376.1M  122.4M  67.8M  308.4M    199.1M
 20349  1495939  375.8M  122.3M  67.8M  308.1M    198.8M
 20349  1495940  375.8M  122.2M  67.8M  308.1M    198.8M
 20349  1495941  375.4M  122.1M  67.7M  307.7M    198.4M
 20349  1495767  1.7G    1.4G    1.4G   315.4M    315.4M
 20349  1495934  377.7M  122.5M  67.7M  310.0M    200.7M
 20349  1495935  378.4M  122.8M  67.7M  310.7M    201.3M
 20349  1495936  378.4M  122.7M  67.7M  310.8M    201.4M
 20349  1495937  378.3M  122.6M  67.7M  310.6M    201.3M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20351  1495766  1.7G    1.4G    1.4G   321.7M    321.7M
 20351  1495938  384.2M  124.1M  67.8M  316.5M    207.2M
 20351  1495939  383.6M  123.8M  67.8M  315.9M    206.6M
 20351  1495940  383.7M  123.8M  67.8M  315.9M    206.7M
 20351  1495941  383.3M  123.7M  67.7M  315.6M    206.3M
 20351  1495767  1.7G    1.4G    1.4G   323.5M    323.5M
 20351  1495934  386.0M  124.2M  67.7M  318.4M    209.0M
 20351  1495935  386.5M  124.4M  67.7M  318.8M    209.5M
 20351  1495936  386.5M  124.3M  67.7M  318.8M    209.5M
 20351  1495937  386.4M  124.2M  67.7M  318.7M    209.3M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20352  1495766  1.7G    1.4G    1.3G   329.2M    329.2M
 20352  1495938  392.1M  125.8M  67.8M  324.3M    215.0M
 20352  1495939  391.3M  125.4M  67.8M  323.6M    214.3M
 20352  1495940  391.7M  125.5M  67.8M  324.0M    214.7M
 20352  1495941  390.2M  125.0M  67.7M  322.5M    213.2M
 20352  1495767  1.7G    1.4G    1.3G   335.4M    335.4M
 20352  1495934  397.3M  126.4M  67.7M  329.5M    220.2M
 20352  1495935  399.4M  127.2M  67.7M  331.7M    222.3M
 20352  1495936  399.4M  127.1M  67.7M  331.7M    222.4M
 20352  1495937  398.5M  126.7M  67.7M  330.8M    221.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20354  1495766  1.7G    1.4G    1.3G   341.6M    341.6M
 20354  1495938  404.2M  128.0M  67.8M  336.4M    227.1M
 20354  1495939  403.9M  127.9M  67.8M  336.1M    226.8M
 20354  1495940  404.8M  128.2M  67.8M  337.1M    227.8M
 20354  1495941  403.4M  127.7M  67.8M  335.6M    226.4M
 20354  1495767  1.7G    1.4G    1.3G   345.8M    345.8M
 20354  1495934  407.6M  128.5M  67.7M  339.9M    230.5M
 20354  1495935  409.5M  129.1M  67.7M  341.8M    232.4M
 20354  1495936  409.8M  129.2M  67.7M  342.1M    232.7M
 20354  1495937  408.7M  128.7M  67.7M  341.0M    231.6M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20355  1495766  1.7G    1.4G    1.3G   355.2M    355.2M
 20355  1495938  417.5M  130.7M  67.8M  349.7M    240.4M
 20355  1495939  417.1M  130.5M  67.8M  349.2M    240.0M
 20355  1495940  418.6M  131.0M  67.8M  350.8M    241.5M
 20355  1495941  416.7M  130.4M  67.8M  348.9M    239.7M
 20355  1495767  1.7G    1.4G    1.3G   358.1M    358.1M
 20355  1495934  420.4M  131.1M  67.7M  352.7M    243.3M
 20355  1495935  421.1M  131.3M  67.7M  353.4M    244.1M
 20355  1495936  421.4M  131.4M  67.7M  353.6M    244.3M
 20355  1495937  421.0M  131.2M  67.7M  353.3M    244.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20356  1495766  1.7G    1.4G    1.3G   364.2M    364.2M
 20356  1495938  426.6M  132.5M  67.8M  358.8M    249.5M
 20356  1495939  426.2M  132.3M  67.8M  358.4M    249.2M
 20356  1495940  427.2M  132.7M  67.8M  359.4M    250.2M
 20356  1495941  426.2M  132.3M  67.8M  358.4M    249.1M
 20356  1495767  1.7G    1.4G    1.3G   367.8M    367.8M
 20356  1495934  429.8M  133.0M  67.7M  362.1M    252.8M
 20356  1495935  430.8M  133.3M  67.7M  363.1M    253.7M
 20356  1495936  431.0M  133.3M  67.7M  363.3M    254.0M
 20356  1495937  430.6M  133.1M  67.7M  362.9M    253.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20358  1495766  1.7G    1.4G    1.3G   375.4M    375.4M
 20358  1495938  437.8M  134.8M  67.8M  370.0M    260.8M
 20358  1495939  437.4M  134.6M  67.8M  369.6M    260.3M
 20358  1495940  438.5M  134.9M  67.8M  370.7M    261.4M
 20358  1495941  437.0M  134.4M  67.8M  369.3M    260.0M
 20358  1495767  1.7G    1.4G    1.3G   378.5M    378.5M
 20358  1495934  440.6M  135.1M  67.7M  372.9M    263.6M
 20358  1495935  441.8M  135.5M  67.7M  374.1M    264.7M
 20358  1495936  442.0M  135.5M  67.7M  374.3M    265.0M
 20358  1495937  441.7M  135.3M  67.7M  374.0M    264.7M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20359  1495766  1.7G    1.4G    1.3G   386.8M    386.8M
 20359  1495938  449.3M  137.1M  67.8M  381.5M    272.2M
 20359  1495939  448.5M  136.8M  67.8M  380.7M    271.4M
 20359  1495940  450.1M  137.3M  67.8M  382.3M    273.0M
 20359  1495941  448.2M  136.7M  67.8M  380.4M    271.2M
 20359  1495767  1.7G    1.4G    1.3G   390.9M    390.9M
 20359  1495934  452.7M  137.5M  67.7M  385.0M    275.6M
 20359  1495935  454.2M  138.0M  67.7M  386.5M    277.2M
 20359  1495936  454.4M  138.0M  67.7M  386.7M    277.4M
 20359  1495937  454.0M  137.8M  67.7M  386.3M    277.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20361  1495766  1.7G    1.4G    1.3G   398.5M    398.5M
 20361  1495938  460.8M  139.4M  67.8M  393.0M    283.8M
 20361  1495939  460.2M  139.2M  67.8M  392.4M    283.2M
 20361  1495940  461.5M  139.6M  67.8M  393.7M    284.5M
 20361  1495941  459.9M  139.0M  67.8M  392.1M    282.9M
 20361  1495767  1.7G    1.3G    1.3G   401.6M    401.6M
 20361  1495934  463.5M  139.7M  67.7M  395.8M    286.4M
 20361  1495935  464.6M  140.1M  67.7M  396.9M    287.6M
 20361  1495936  464.7M  140.0M  67.7M  396.9M    287.6M
 20361  1495937  464.4M  139.9M  67.7M  396.7M    287.3M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20362  1495766  1.7G    1.3G    1.3G   407.7M    407.7M
 20362  1495938  469.9M  141.1M  67.8M  402.1M    292.9M
 20362  1495939  469.6M  141.0M  67.8M  401.8M    292.6M
 20362  1495940  470.6M  141.4M  67.8M  402.8M    293.5M
 20362  1495941  469.3M  140.9M  67.8M  401.6M    292.3M
 20362  1495767  1.7G    1.3G    1.3G   410.1M    410.1M
 20362  1495934  472.0M  141.4M  67.7M  404.2M    294.9M
 20362  1495935  473.2M  141.8M  67.7M  405.5M    296.2M
 20362  1495936  473.5M  141.8M  67.7M  405.8M    296.4M
 20362  1495937  473.0M  141.6M  67.7M  405.3M    296.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20364  1495766  1.7G    1.3G    1.3G   415.7M    415.7M
 20364  1495938  477.8M  142.7M  67.8M  410.0M    300.7M
 20364  1495939  477.3M  142.6M  67.8M  409.5M    300.2M
 20364  1495940  478.7M  143.0M  67.8M  410.9M    301.6M
 20364  1495941  477.2M  142.5M  67.8M  409.4M    300.1M
 20364  1495767  1.7G    1.3G    1.3G   418.1M    418.1M
 20364  1495934  480.2M  143.0M  67.7M  412.5M    303.1M
 20364  1495935  481.2M  143.4M  67.7M  413.5M    304.2M
 20364  1495936  481.4M  143.4M  67.7M  413.6M    304.3M
 20364  1495937  481.2M  143.2M  67.7M  413.5M    304.2M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20365  1495766  1.7G    1.3G    1.3G   424.1M    424.1M
 20365  1495938  486.2M  144.4M  67.8M  418.4M    309.2M
 20365  1495939  485.7M  144.2M  67.8M  417.9M    308.7M
 20365  1495940  487.3M  144.8M  67.8M  419.5M    310.2M
 20365  1495941  485.6M  144.1M  67.8M  417.8M    308.5M
 20365  1495767  1.7G    1.3G    1.3G   426.6M    426.6M
 20365  1495934  488.8M  144.8M  67.7M  421.1M    311.8M
 20365  1495935  489.5M  145.0M  67.7M  421.8M    312.5M
 20365  1495936  489.7M  145.0M  67.7M  421.9M    312.6M
 20365  1495937  489.6M  144.9M  67.7M  421.9M    312.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20367  1495766  1.7G    1.3G    1.2G   435.4M    435.4M
 20367  1495938  497.4M  146.8M  67.8M  429.6M    320.4M
 20367  1495939  496.3M  146.4M  67.8M  428.5M    319.2M
 20367  1495940  499.0M  147.3M  67.8M  431.2M    321.9M
 20367  1495941  496.1M  146.2M  67.8M  428.3M    319.0M
 20367  1495767  1.7G    1.3G    1.2G   439.6M    439.6M
 20367  1495934  501.1M  147.2M  67.7M  433.4M    324.1M
 20367  1495935  503.1M  147.8M  67.7M  435.4M    326.0M
 20367  1495936  503.4M  147.9M  67.7M  435.7M    326.4M
 20367  1495937  502.8M  147.6M  67.7M  435.1M    325.8M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20368  1495766  1.7G    1.3G    1.2G   449.5M    449.5M
 20368  1495938  511.5M  149.6M  67.8M  443.7M    334.5M
 20368  1495939  510.5M  149.2M  67.8M  442.7M    333.4M
 20368  1495940  512.9M  150.1M  67.8M  445.1M    335.9M
 20368  1495941  510.3M  149.1M  67.8M  442.6M    333.3M
 20368  1495767  1.7G    1.3G    1.2G   453.4M    453.4M
 20368  1495934  514.7M  149.9M  67.7M  447.0M    337.6M
 20368  1495935  516.6M  150.5M  67.7M  448.9M    339.6M
 20368  1495936  516.9M  150.5M  67.7M  449.2M    339.9M
 20368  1495937  516.5M  150.3M  67.7M  448.8M    339.4M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20370  1495766  1.7G    1.3G    1.2G   462.2M    462.2M
 20370  1495938  524.3M  152.1M  67.8M  456.5M    347.3M
 20370  1495939  523.4M  151.8M  67.8M  455.6M    346.3M
 20370  1495940  525.5M  152.5M  67.8M  457.7M    348.4M
 20370  1495941  523.3M  151.7M  67.8M  455.5M    346.2M
 20370  1495767  1.7G    1.3G    1.2G   465.6M    465.6M
 20370  1495934  527.1M  152.4M  67.7M  459.4M    350.0M
 20370  1495935  528.8M  152.9M  67.7M  461.1M    351.8M
 20370  1495936  529.1M  153.0M  67.7M  461.4M    352.0M
 20370  1495937  528.6M  152.7M  67.7M  460.9M    351.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20371  1495766  1.7G    1.3G    1.2G   472.8M    472.8M
 20371  1495938  535.0M  154.2M  67.8M  467.2M    358.0M
 20371  1495939  534.2M  153.9M  67.8M  466.4M    357.1M
 20371  1495940  535.9M  154.5M  67.8M  468.1M    358.9M
 20371  1495941  534.2M  153.9M  67.8M  466.4M    357.2M
 20371  1495767  1.7G    1.3G    1.2G   476.6M    476.6M
 20371  1495934  537.9M  154.6M  67.7M  470.2M    360.8M
 20371  1495935  540.0M  155.2M  67.7M  472.3M    363.0M
 20371  1495936  540.4M  155.3M  67.7M  472.7M    363.4M
 20371  1495937  539.7M  154.9M  67.7M  472.0M    362.6M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20373  1495766  1.7G    1.3G    1.2G   484.7M    484.7M
 20373  1495938  546.9M  156.6M  67.8M  479.1M    369.9M
 20373  1495939  546.3M  156.3M  67.8M  478.5M    369.2M
 20373  1495940  547.7M  156.8M  67.8M  479.9M    370.6M
 20373  1495941  546.3M  156.3M  67.8M  478.5M    369.2M
 20373  1495767  1.7G    1.3G    1.2G   486.7M    486.7M
 20373  1495934  548.8M  156.7M  67.7M  481.0M    371.7M
 20373  1495935  549.7M  157.1M  67.7M  482.0M    372.7M
 20373  1495936  549.9M  157.1M  67.7M  482.1M    372.8M
 20373  1495937  549.5M  156.9M  67.7M  481.8M    372.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20374  1495766  1.7G    1.3G    1.2G   492.9M    492.9M
 20374  1495938  555.2M  158.2M  67.8M  487.4M    378.1M
 20374  1495939  554.4M  158.0M  67.8M  486.6M    377.4M
 20374  1495940  555.8M  158.5M  67.8M  488.1M    378.8M
 20374  1495941  554.3M  157.9M  67.8M  486.5M    377.2M
 20374  1495767  1.7G    1.3G    1.2G   494.9M    494.9M
 20374  1495934  557.0M  158.4M  67.7M  489.3M    379.9M
 20374  1495935  557.9M  158.7M  67.7M  490.2M    380.8M
 20374  1495936  558.0M  158.7M  67.7M  490.3M    381.0M
 20374  1495937  557.8M  158.5M  67.7M  490.1M    380.7M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20376  1495766  1.7G    1.3G    1.2G   500.3M    500.3M
 20376  1495938  562.2M  159.6M  67.8M  494.4M    385.2M
 20376  1495939  561.9M  159.5M  67.8M  494.1M    384.8M
 20376  1495940  563.3M  160.0M  67.8M  495.5M    386.2M
 20376  1495941  561.7M  159.4M  67.8M  493.9M    384.7M
 20376  1495767  1.7G    1.3G    1.2G   502.8M    502.8M
 20376  1495934  564.6M  159.9M  67.7M  496.9M    387.6M
 20376  1495935  565.8M  160.3M  67.7M  498.1M    388.8M
 20376  1495936  565.9M  160.3M  67.7M  498.2M    388.9M
 20376  1495937  565.5M  160.1M  67.7M  497.8M    388.5M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20377  1495766  1.7G    1.3G    1.2G   508.7M    508.7M
 20377  1495938  570.6M  161.3M  67.8M  502.8M    393.5M
 20377  1495939  570.3M  161.2M  67.8M  502.5M    393.2M
 20377  1495940  571.7M  161.7M  67.8M  503.9M    394.7M
 20377  1495941  570.1M  161.0M  67.8M  502.3M    393.0M
 20377  1495767  1.7G    1.3G    1.2G   511.3M    511.3M
 20377  1495934  573.0M  161.6M  67.7M  505.3M    395.9M
 20377  1495935  574.3M  162.0M  67.7M  506.6M    397.2M
 20377  1495936  574.4M  162.0M  67.7M  506.6M    397.3M
 20377  1495937  574.1M  161.8M  67.7M  506.4M    397.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20379  1495766  1.7G    1.3G    1.2G   516.0M    516.0M
 20379  1495938  577.8M  162.7M  67.8M  510.0M    400.8M
 20379  1495939  577.6M  162.6M  67.8M  509.8M    400.6M
 20379  1495940  578.7M  163.0M  67.8M  510.9M    401.6M
 20379  1495941  577.5M  162.5M  67.8M  509.8M    400.5M
 20379  1495767  1.7G    1.3G    1.2G   517.4M    517.4M
 20379  1495934  579.5M  162.9M  67.7M  511.8M    402.4M
 20379  1495935  580.2M  163.1M  67.7M  512.5M    403.2M
 20379  1495936  580.3M  163.1M  67.7M  512.6M    403.2M
 20379  1495937  580.2M  163.0M  67.7M  512.5M    403.2M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
